City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,natal,-5.795,-35.2094,27.12,78,0,2.06,BR,1683855581
1,hadibu,12.65,54.0333,28.2,74,100,1.08,YE,1683855584
2,sirathu,25.65,81.3167,31.61,11,0,2.69,IN,1683855584
3,isafjordur,66.0755,-23.124,6.69,94,100,1.85,IS,1683855584
4,yuzhno-kurilsk,44.0306,145.8556,7.24,66,10,3.51,RU,1683855584
5,fuglafjordur,62.244,-6.814,8.26,82,50,1.76,FO,1683855584
6,gua musang,4.8823,101.9644,30.08,64,40,0.23,MY,1683855584
7,port mathurin,-19.6833,63.4167,25.54,76,77,9.71,MU,1683855585
8,edinburgh of the seven seas,-37.0676,-12.3116,17.13,85,90,12.33,SH,1683855585
9,adamstown,-25.066,-130.1015,22.05,60,100,8.32,PN,1683855585
10,trairi,-3.2778,-39.2689,24.9,85,51,1.67,BR,1683855517
11,nishifukuma,33.7667,130.4667,26.27,57,100,1.56,JP,1683855585
12,ribeira grande,38.5167,-28.7,15.43,86,45,2.68,PT,1683855585
13,albany,42.6001,-73.9662,17.71,62,100,2.44,US,1683855312
14,regina,50.4501,-104.6178,15.06,64,100,7.2,CA,1683855548
15,waitangi,-43.9535,-176.5597,10.46,75,51,1.34,NZ,1683855586
16,camana,-16.6228,-72.7111,19.75,81,53,2.62,PE,1683855586
17,puerto natales,-51.7236,-72.4875,7.8,84,98,3.73,CL,1683855586
18,labrador city,52.9463,-66.9114,2.95,70,0,1.03,CA,1683855338
19,shanhaiguan,39.9988,119.7564,22.92,38,5,5.56,CN,1683855587
20,punta arenas,-53.15,-70.9167,8.06,76,0,6.17,CL,1683855438
21,bethel,41.3712,-73.414,19.46,61,0,0.0,US,1683855588
22,st. john's,47.5649,-52.7093,4.66,60,20,8.75,CA,1683855479
23,qaqortoq,60.7167,-46.0333,1.55,89,100,0.83,GL,1683855588
24,souillac,-20.5167,57.5167,24.21,83,40,5.66,MU,1683855588
25,kudahuvadhoo,2.6708,72.8944,27.79,79,100,7.76,MV,1683855588
26,port-aux-francais,-49.35,70.2167,8.27,90,100,20.71,TF,1683855588
27,kaesong,37.9708,126.5544,18.93,41,100,2.19,KP,1683855589
28,holualoa,19.6228,-155.9522,25.91,85,40,5.14,US,1683855589
29,anloga,5.7947,0.8973,28.75,80,40,3.78,GH,1683855589
30,grytviken,-54.2811,-36.5092,-4.49,66,1,2.07,GS,1683855589
31,vorgashor,67.5833,63.95,-9.72,92,27,2.47,RU,1683855589
32,konarka,19.9,86.1167,29.22,75,100,2.93,IN,1683855589
33,rongelap,11.1635,166.8941,27.59,80,100,7.8,MH,1683855590
34,porto franco,-6.3383,-47.3992,24.71,75,94,0.7,BR,1683855289
35,ushuaia,-54.8,-68.3,9.81,62,75,4.63,AR,1683855590
36,ilulissat,69.2167,-51.1,-2.99,86,100,7.2,GL,1683855590
37,bilibino,68.0546,166.4372,1.65,92,100,1.8,RU,1683855590
38,whitehorse,60.7161,-135.0538,15.43,30,75,7.2,CA,1683855467
39,new norfolk,-42.7826,147.0587,15.4,62,56,0.45,AU,1683855076
40,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,61,75,6.0,RU,1683855591
41,iqaluit,63.7506,-68.5145,-5.15,86,20,3.6,CA,1683855591
42,tchintabaraden,15.8969,5.7985,30.32,37,28,5.35,NE,1683855591
43,west island,-12.1568,96.8225,28.99,79,40,7.2,CC,1683855591
44,yellowknife,62.456,-114.3525,19.29,30,75,3.6,CA,1683855393
45,saipan,15.1355,145.701,29.25,100,13,5.36,MP,1683855591
46,isangel,-19.55,169.2667,27.06,83,100,2.06,VU,1683855467
47,asekeyevo,53.5742,52.7972,10.64,76,100,2.84,RU,1683855592
48,tiksi,71.6872,128.8694,-10.08,80,85,7.42,RU,1683855592
49,kampung sungai ara,5.327,100.2735,30.95,74,20,0.0,MY,1683855592
50,aasiaat,68.7098,-52.8699,-3.31,93,100,3.8,GL,1683855592
51,talnakh,69.4865,88.3972,-14.33,84,59,5.12,RU,1683855592
52,port lincoln,-34.7333,135.8667,16.4,57,17,4.66,AU,1683855592
53,haiku-pauwela,20.9219,-156.3051,28.01,48,40,8.75,US,1683855593
54,sitka,57.0531,-135.33,11.94,54,100,5.14,US,1683855593
55,ust-nera,64.5667,143.2,5.56,55,100,1.01,RU,1683855593
56,mangrol,21.1167,70.1167,29.66,61,1,5.0,IN,1683855593
57,jamestown,42.097,-79.2353,18.8,39,0,2.06,US,1683855511
58,kemri,28.8167,79.2167,28.76,17,1,3.91,IN,1683855593
59,papatowai,-46.5619,169.4708,11.34,90,100,4.21,NZ,1683855594
60,blackmans bay,-43.0167,147.3167,15.29,71,61,1.43,AU,1683855594
61,invercargill,-46.4,168.35,12.02,81,96,4.07,NZ,1683855325
62,kolonia,50.9333,6.95,13.49,93,20,2.06,DE,1683855555
63,atafu village,-8.5421,-172.5159,28.9,77,66,5.64,TK,1683855594
64,hawaiian paradise park,19.5933,-154.9731,25.73,76,100,3.6,US,1683855594
65,turpan,42.9333,89.1667,29.48,9,100,1.44,CN,1683855594
66,kosh-agach,50.0,88.6667,9.36,46,71,0.62,RU,1683855595
67,badger,64.8,-147.5333,16.14,39,75,2.57,US,1683855595
68,vila franca do campo,37.7167,-25.4333,17.23,89,100,0.81,PT,1683855595
69,pisco,-13.7,-76.2167,20.03,83,100,4.12,PE,1683855595
70,kingston,17.997,-76.7936,28.53,80,20,8.23,JM,1683855541
71,oyama,36.3,139.8,20.75,35,34,2.07,JP,1683855595
72,lompoc,34.6391,-120.4579,19.88,80,75,9.26,US,1683855596
73,lan sak,15.4529,99.5761,27.11,79,100,0.1,TH,1683855596
74,crane,31.3974,-102.3501,26.58,9,1,3.73,US,1683855596
75,tofol,5.3248,163.0078,30.88,74,75,3.6,FM,1683855596
76,puerto ayora,-0.7393,-90.3518,26.42,97,74,3.15,EC,1683855596
77,stanley,54.868,-1.6985,9.04,97,100,3.09,GB,1683855596
78,ust'-ilimsk,58.0006,102.6619,10.56,43,98,3.78,RU,1683855596
79,culebra,18.303,-65.301,27.02,70,59,6.66,PR,1683855597
80,aykhal,66.0,111.5,0.27,99,100,8.25,RU,1683855059
81,laguna,38.421,-121.4238,25.99,44,0,3.09,US,1683855597
82,oriximina,-1.7656,-55.8661,23.66,97,100,0.63,BR,1683855597
83,genc,38.7507,40.5603,15.4,56,100,0.68,TR,1683855597
84,cold lake,54.4502,-110.2017,14.97,67,75,7.2,CA,1683855597
85,waterboro,43.5356,-70.7151,16.9,55,0,1.54,US,1683855597
86,batticaloa,7.7102,81.6924,27.88,78,100,2.4,LK,1683855598
87,manokwari,-0.8667,134.0833,29.05,71,99,4.28,ID,1683855022
88,kovalam,8.3667,76.9967,28.05,78,40,1.03,IN,1683855598
89,avarua,-21.2078,-159.775,26.03,78,100,9.77,CK,1683855598
90,bandarbeyla,9.4942,50.8122,26.97,87,90,5.4,SO,1683855598
91,chulakkurgan,43.765,69.1814,24.93,27,100,3.13,KZ,1683855599
92,celestun,20.8667,-90.4,28.82,72,13,4.33,MX,1683855599
93,anadyr,64.75,177.4833,3.28,75,0,3.0,RU,1683855599
94,singkawang,0.9,109.0,30.85,64,55,0.42,ID,1683855599
95,pahrump,36.2083,-115.9839,28.58,13,0,1.79,US,1683855502
96,karratha,-20.7377,116.8463,27.27,19,0,8.46,AU,1683855600
97,margaret river,-33.95,115.0667,15.54,58,80,5.34,AU,1683855600
98,ballina,-28.8667,153.5667,19.88,92,13,2.21,AU,1683855600
99,nova sintra,14.8667,-24.7167,20.16,80,6,6.39,CV,1683855601
100,gadzhiyevo,69.2551,33.3362,2.7,100,100,2.77,RU,1683855601
101,happy valley-goose bay,53.3168,-60.3315,3.17,52,20,3.6,CA,1683855601
102,fada,9.5667,8.3,23.01,75,98,1.22,NG,1683855601
103,tobelo,1.7284,128.0095,29.21,71,100,0.26,ID,1683855602
104,kourou,5.1552,-52.6478,23.03,92,98,2.4,GF,1683855602
105,college,64.8569,-147.8028,16.18,40,75,2.57,US,1683855603
106,bayanaul,50.7889,75.6956,11.59,60,46,5.12,KZ,1683855604
107,kamenka,51.3223,42.7678,7.33,97,100,5.03,RU,1683855604
108,tolanaro,-25.0319,46.9987,23.04,88,75,3.6,MG,1683855130
109,cee,42.9547,-9.188,12.12,85,70,5.21,ES,1683855605
110,laurentides,46.4334,-74.9826,15.95,67,100,1.87,CA,1683855605
111,puerto lempira,15.2667,-83.7667,26.88,81,100,4.72,HN,1683855605
112,hilo,19.7297,-155.09,28.49,78,100,3.6,US,1683855505
113,chonchi,-42.6128,-73.8092,12.84,97,100,1.36,CL,1683855606
